Tree,Nitrogen,Acclimation,Photo,Cond,Ci,Trmmol,VPD,LA,StmRat,BLCond,Tair,Tleaf,Tleaf_Target,TBlk,CO2R,CO2_Target,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,Press
tree29,HN,10,15.20533848,0.041229844,777.8909182,0.445377228,1.031416775,2,0.5,7.713084698,13.63441658,18.44409752,18C,12.02351093,1400.013916,1400,1389.478638,11.07910919,11.37225628,68.30625916,70.11360931,300.403656,998.4662476,96.58765411
tree29,HN,10,16.44175437,0.041181989,924.9604694,0.44892759,1.040896378,2,0.5,7.713084698,13.63912582,18.48107719,18C,12.02775383,1600.117554,1600,1588.696289,11.02914715,11.32464504,67.98113251,69.80251312,300.4039307,998.2963867,96.59295654
tree29,HN,10,16.76764211,0.041804818,1314.525468,0.458400385,1.047213698,2,0.5,7.713084698,13.62418079,18.49439621,18C,12.00876427,2000.13147,2000,1988.36145,10.9750061,11.27674866,67.71890259,69.58074188,300.4091492,998.5014648,96.6010437
tree29,HN,10,3.71032211,0.047112267,166.9810992,0.453783957,0.924051045,2,0.5,7.713084698,11.42810535,15.7213583,14C,9.929564476,299.8036499,300,297.2438049,8.682760239,8.982141495,61.93429947,64.0697937,300.4249573,998.7265625,96.68385315
tree29,HN,10,2.198365477,0.044687386,117.0696804,0.424878044,0.912167549,2,0.5,7.713084698,10.80855465,15.44009304,14C,9.238575935,200.1036072,200,198.5839081,8.492910385,8.773284912,63.12739944,65.21141052,300.4199219,999.192749,96.69075775
tree29,HN,10,-0.232688961,0.045300022,106.4342762,0.423401866,0.897099454,2,0.5,7.713084698,10.47097683,15.15587997,14C,8.895294189,99.59680939,100,99.72360992,8.319473267,8.598924637,63.251297,65.3759079,300.4179688,999.3261719,96.7008667
tree29,HN,10,-0.625320336,0.044928155,71.97878542,0.42007419,0.89754765,2,0.5,7.713084698,10.29669094,15.03092861,14C,8.718593597,50.11723328,50,50.51939774,8.173506737,8.450798035,62.87169647,65.00465393,300.423584,999.147583,96.70541382
tree29,HN,10,5.61672957,0.045179353,191.791811,0.419479522,0.891640672,2,0.5,7.713084698,10.16417694,14.86923504,14C,8.582724571,399.9411011,400,396.0911865,8.049613953,8.326554298,62.4819603,64.63159943,300.4161072,999.3924561,96.72466278
tree29,HN,10,5.688456913,0.045195813,189.3999333,0.421486143,0.895694782,2,0.5,7.713084698,10.0870657,14.81049633,14C,8.50409317,400.0789795,500,396.1809998,7.939760208,8.218038559,61.95030594,64.12158203,300.4346924,999.3461914,96.72829437
tree29,HN,10,8.431775599,0.045116486,287.1403477,0.422732596,0.900050461,2,0.5,7.713084698,10.0265379,14.76553345,14C,8.438998222,600.0811157,600,594.3006592,7.842654705,8.121790886,61.44574356,63.63272095,300.4263,999.5635986,96.73571014
tree29,HN,10,10.59494675,0.045343491,407.8981117,0.422802708,0.895932855,2,0.5,7.713084698,9.960567474,14.65373135,14C,8.374393463,799.9129028,800,792.6360474,7.758835793,8.038060188,61.06619644,63.26383972,300.4065552,999.6410522,96.74842834
tree29,HN,10,12.20594448,0.045069522,544.5220025,0.424065983,0.904086131,2,0.5,7.713084698,9.929380417,14.66254139,14C,8.3408041,1000.036499,1000,991.6306763,7.683419228,7.963484764,60.60017395,62.80908966,300.4217834,999.4979858,96.75014496
tree29,HN,10,12.25252404,0.045266056,741.5267483,0.428872617,0.910585502,2,0.5,7.713084698,9.919630051,14.66276073,14C,8.328436852,1200.010376,1200,1191.513062,7.611847878,7.895115376,60.08584976,62.32188034,300.4132996,999.5888672,96.76776123
tree29,HN,10,12.8463224,0.04554439,920.1153697,0.430485233,0.908547477,2,0.5,7.713084698,9.879909515,14.58017921,14C,8.28888607,1400.212769,1400,1391.261719,7.539673805,7.824023247,59.67580032,61.92640305,300.4170532,999.6450195,96.76947021
tree29,HN,10,12.94499983,0.04554441,1113.108075,0.43285135,0.913712407,2,0.5,7.713084698,9.841765404,14.56641006,14C,8.251568794,1599.911377,1600,1590.834717,7.468297958,7.754237175,59.27070999,61.54001236,300.4099426,999.8288574,96.78335571
tree29,HN,10,14.11805824,0.045390638,1463.313972,0.433825009,0.91893133,2,0.5,7.713084698,9.837696075,14.56400204,14C,8.25075531,1999.988037,2000,1990.014404,7.410620689,7.697210312,58.83229828,61.1075058,300.4196472,999.5328979,96.78874969
tree29,HN,10,3.918315931,0.047792237,162.3069196,0.401373485,0.810610867,2,0.5,7.713084698,7.499924183,11.74093819,10C,5.987596512,299.9732971,300,297.2854309,5.649037838,5.914652824,52.59773636,55.07085419,300.4344788,998.7397461,96.90492249
tree29,HN,10,2.124212662,0.046442866,122.7269194,0.38392051,0.797922324,2,0.5,7.713084698,7.010527134,11.48664951,10C,5.453439236,199.8848267,200,198.4200897,5.553250313,5.807331085,53.46932602,55.91573334,300.4485168,998.8991089,96.90868378
tree29,HN,10,0.27368915,0.045527202,88.7477284,0.372315968,0.789404864,2,0.5,7.713084698,6.724901676,11.30374622,10C,5.155431747,99.86052704,100,99.65363312,5.479528427,5.725959778,53.80651093,56.22635651,300.4358826,999.3401489,96.91247559
tree29,HN,10,-0.597770403,0.046041123,70.32873257,0.371146002,0.778422129,2,0.5,7.713084698,6.527527332,11.10397625,10C,4.966125488,49.84505081,50,50.23056793,5.410101891,5.655771255,53.86004257,56.30579376,300.441925,999.2495728,96.92865753
tree29,HN,10,5.287507568,0.045831184,207.1081583,0.367378371,0.774144552,2,0.5,7.713084698,6.426845074,10.99159431,10C,4.855900764,400.1456909,400,396.528717,5.354560375,5.597762108,53.68174744,56.11994553,300.4270325,999.6000977,96.93530273
tree29,HN,10,5.562905847,0.045530695,195.9998224,0.366371431,0.777129283,2,0.5,7.713084698,6.318908691,10.96695995,10C,4.748550892,400.1065979,500,396.3068542,5.302139282,5.544671535,53.55402756,56.0037117,300.4466553,999.5304565,96.93679047
tree29,HN,10,7.133174383,0.046396991,341.6423782,0.37221909,0.774961144,2,0.5,7.713084698,6.31142807,10.89473343,10C,4.736586571,599.8347778,600,594.9387817,5.255377769,5.501801968,53.11190414,55.602314,300.4341431,999.4736938,96.94189453
tree29,HN,10,8.59044252,0.045870881,484.5230027,0.367205486,0.773282706,2,0.5,7.713084698,6.232108593,10.81642056,10C,4.65948534,799.8294678,800,793.9169312,5.20593071,5.449039459,52.90060043,55.37097931,300.4454346,999.5146484,96.9413681
tree29,HN,10,9.300711673,0.046237326,659.4227753,0.371822833,0.776948562,2,0.5,7.713084698,6.221700668,10.81956959,10C,4.650610447,1000.044006,1000,993.6063232,5.167163849,5.413356304,52.55101013,55.05483246,300.4235229,999.3896484,96.95355988
tree29,HN,10,9.670314572,0.045613489,839.0710895,0.368343812,0.780318024,2,0.5,7.713084698,6.200575352,10.82247829,10C,4.626379013,1199.923096,1200,1193.193115,5.136200905,5.380083561,52.32320404,54.80767059,300.4412842,999.7318726,96.97370148
tree29,HN,10,9.618866638,0.045793802,1039.630931,0.369837333,0.780418789,2,0.5,7.713084698,6.203511238,10.79742908,10C,4.630680084,1399.959351,1400,1393.213501,5.111919403,5.356785297,52.06433868,54.55827332,300.4552307,999.399292,96.97193146
tree29,HN,10,10.22718638,0.045971155,1216.787335,0.371557373,0.781133881,2,0.5,7.713084698,6.198421478,10.78634071,10C,4.618969917,1600.016602,1600,1592.814697,5.092956543,5.338971138,51.89481354,54.40159225,300.4485474,999.572998,96.981987
tree29,HN,10,10.47998933,0.045554611,1598.871763,0.368895259,0.782667347,2,0.5,7.713084698,6.191702366,10.78691006,10C,4.615850925,1999.665771,2000,1992.200195,5.078901768,5.323162079,51.78052521,54.27081299,300.4430542,999.6751709,96.99118042
tree29,HN,10,4.038661868,0.048711221,161.2803634,0.317527889,0.631821528,2,0.5,7.713084698,3.668492794,7.798574924,6C,2.168632746,299.8081055,300,297.0572815,4.223467827,4.433870316,51.38380432,53.94361496,300.4907532,998.5406494,97.06427765
tree29,HN,10,1.647312574,0.047916495,141.7913243,0.308384875,0.623838,2,0.5,7.713084698,3.197796583,7.553681374,6C,1.655649066,199.9904785,200,198.853241,4.13040638,4.33477211,51.95034027,54.52075577,300.4888306,998.7022095,97.06546783
tree29,HN,10,-0.008504361,0.046091347,99.11885764,0.292864686,0.615883048,2,0.5,7.713084698,2.950708628,7.323842525,6C,1.405432701,99.85244751,100,99.83864594,4.054559708,4.248668671,51.90048981,54.38518524,300.4708252,998.4921265,97.07290649
tree29,HN,10,-0.439282812,0.047961045,64.44823305,0.304108596,0.614874425,2,0.5,7.713084698,2.819747925,7.230195045,6C,1.269802094,50.01851273,50,50.30072784,3.989201784,4.190775394,51.54787827,54.15258026,300.4700317,998.6018066,97.08705139
tree29,HN,10,4.317776998,0.047110474,246.5819523,0.297643533,0.612689997,2,0.5,7.713084698,2.716034651,7.127031326,6C,1.158957601,400.2162476,400,397.2636108,3.941548586,4.138841629,51.31266403,53.88110352,300.4785461,998.8465576,97.09494019
tree29,HN,10,4.151853152,0.046515046,250.1651312,0.294047978,0.61311755,2,0.5,7.713084698,2.629803181,7.064428329,6C,1.074919105,399.8469543,500,397.0056458,3.894120693,4.089047909,51.0149231,53.56856537,300.4666138,998.8319702,97.11047363
tree29,HN,10,5.646593613,0.047174424,398.4268647,0.299378125,0.615546481,2,0.5,7.713084698,2.586706877,7.050401688,6C,1.030465841,599.8961792,600,596.0187378,3.855733633,4.054207325,50.66489029,53.27285767,300.4573364,998.5683594,97.10639954
tree29,HN,10,6.265876441,0.046287808,571.0040532,0.295129203,0.618409454,2,0.5,7.713084698,2.551442862,7.042118073,6C,0.990669549,800.0397339,800,795.7125244,3.822941542,4.018605232,50.36285019,52.94049454,300.4575806,998.9064941,97.11167145
tree29,HN,10,6.559281468,0.047162616,763.1833619,0.298721352,0.614440565,2,0.5,7.713084698,2.506895781,6.951857567,6C,0.947357416,1000.397156,1000,995.8329468,3.79720211,3.995251894,50.18399811,52.80143738,300.4576721,999.0028687,97.11453247
tree29,HN,10,7.012314856,0.045892816,938.6729275,0.291735902,0.616560836,2,0.5,7.713084698,2.460319042,6.950562,6C,0.898808956,1200.201904,1200,1195.302368,3.779227018,3.972636461,50.11054993,52.67506409,300.4785461,998.895874,97.11123657
tree29,HN,10,6.845591212,0.046206983,1143.801507,0.294214296,0.617624082,2,0.5,7.713084698,2.468034267,6.942252159,6C,0.906472266,1399.887085,1400,1395.057251,3.760607481,3.955670595,49.83797455,52.42307281,300.4673462,998.8866577,97.11450958
tree29,HN,10,7.507424009,0.046683677,1321.436371,0.296386261,0.615932619,2,0.5,7.713084698,2.465019941,6.904198647,6C,0.900573254,1600.27478,1600,1594.962769,3.749332428,3.945844412,49.70346832,52.30855179,300.4567566,999.0907593,97.12283325
tree29,HN,10,7.447112353,0.047174488,1721.668793,0.300042876,0.617183678,2,0.5,7.713084698,2.437286615,6.907149792,6C,0.871183217,1999.935913,2000,1994.580688,3.73550272,3.93442893,49.6257782,52.26849365,300.4756165,999.0899048,97.13809967
tree29,HN,10,3.974603234,0.049918802,167.4026836,0.273882402,0.533766496,2,0.5,7.713084698,1.183638334,4.626956463,2C,0.045264922,300.2552795,300,297.5549622,3.104446888,3.28618288,45.16339874,47.80728531,300.4164124,1000.393433,97.2470932
tree29,HN,10,-0.192061309,0.047938863,204.6486935,0.274669671,0.557258103,2,0.5,7.713084698,1.203768373,4.900715828,2C,0.005162004,199.9780579,200,200.0693359,3.031635046,3.213905096,44.04174805,46.68965912,300.4189758,999.0341187,97.25022888
tree29,HN,10,1.006667444,0.049574826,66.14145702,0.272182969,0.534274432,2,0.5,7.713084698,1.007573485,4.258372784,2C,0.016572924,100.2298508,100,99.54162598,2.876486063,3.057137489,42.38397598,45.0458107,300.4137573,1000.358032,97.25460052
tree29,HN,10,-0.025720901,0.048418084,57.86051568,0.266364182,0.535329149,2,0.5,7.713084698,0.973609388,4.1747756,2C,0.01763525,57.50957489,50,57.51649857,2.819308043,2.996095896,41.64596558,44.2574234,300.4348145,1000.103882,97.26095581
tree29,HN,10,2.90172779,0.047990556,297.6627828,0.267618747,0.542648513,2,0.5,7.713084698,0.992894888,4.240368843,2C,0.018041663,400.0443726,400,398.041687,2.782212257,2.959846973,41.04373932,43.66423798,300.4217224,999.9071655,97.26759338
tree29,HN,10,3.516222976,0.047719102,275.9163134,0.269356185,0.549255385,2,0.5,7.713084698,1.019440174,4.310649395,2C,0.01858083,399.9074402,500,397.4952698,2.755307674,2.934102774,40.56924438,43.201828,300.4174805,999.6380005,97.26771545
tree29,HN,10,4.004185895,0.047590679,457.0003531,0.27021544,0.552525822,2,0.5,7.713084698,1.031851292,4.329678535,2C,0.019313388,599.9192505,600,597.1459961,2.732361317,2.91173625,40.19815063,42.83709335,300.4083557,999.5467529,97.27429199
tree29,HN,10,4.751318585,0.047046373,627.8361969,0.267124048,0.552545914,2,0.5,7.713084698,1.023481846,4.296384811,2C,0.01864763,800.0773315,800,796.772522,2.713923931,2.891243458,39.95453644,42.5650444,300.4200745,999.8482666,97.28295135
tree29,HN,10,4.758834279,0.046823968,824.9322442,0.267578916,0.556107745,2,0.5,7.713084698,1.024748325,4.333523273,2C,0.019913739,1000.106628,1000,996.7608643,2.699291945,2.876920462,39.7362175,42.35108566,300.4124756,999.7838745,97.28472137
tree29,HN,10,4.798517726,0.046894656,1021.819401,0.26818351,0.556566624,2,0.5,7.713084698,1.026817203,4.328595161,2C,0.02176342,1200.00293,1200,1196.594727,2.691031218,2.869059324,39.61114883,42.23167038,300.4178162,999.6491089,97.29071045
tree29,HN,10,4.766355168,0.046788896,1220.864029,0.267855426,0.557205128,2,0.5,7.713084698,1.03000319,4.329928398,2C,0.022707269,1400.174072,1400,1396.752075,2.68514657,2.862946272,39.52033234,42.13721085,300.4375916,999.5328979,97.30270386
tree29,HN,10,5.910069725,0.046236003,1377.184816,0.265212874,0.558279542,2,0.5,7.713084698,1.034114242,4.345594406,2C,0.01975701,1600.684937,1600,1596.468628,2.685205936,2.861257792,39.51065063,42.10111237,300.4274292,999.5180054,97.30551147
tree29,HN,10,5.640676741,0.04622091,1782.138177,0.267084382,0.562466668,2,0.5,7.713084698,1.064940572,4.429485798,2C,0.021094229,2000.064697,2000,1995.95459,2.691200018,2.868498087,39.51675034,42.12014008,300.4186707,999.2505493,97.31954193
tree31,HN,10,5.608050694,0.085705266,185.623532,1.037777862,1.190082767,2,0.5,7.713084698,15.53347492,18.89590454,18C,14.03791237,299.9624023,300,296.024353,9.445882797,10.12977886,52.69487762,56.51006317,300.4156494,999.572876,98.79918671
tree31,HN,10,2.981617783,0.080237548,134.6918685,0.927822241,1.135864439,2,0.5,7.713084698,14.5323658,18.60460472,18C,12.92399693,199.8874207,200,197.7802887,9.666807175,10.27814198,57.51692963,61.15433502,300.4199829,999.338501,98.80101013
tree31,HN,10,0.554034298,0.075381787,86.08763694,0.835021545,1.087613083,2,0.5,7.713084698,14.09395599,18.34631729,18C,12.47063637,100.0291214,100,99.60491943,9.866204262,10.41630554,60.39653015,63.76400757,300.4260254,999.5800171,98.80727386
tree31,HN,10,-0.943892291,0.071154925,71.59799287,0.76466344,1.054550555,2,0.5,7.713084698,13.87119389,18.18798447,18C,12.24600697,50.66819382,50,51.270504,10.03597832,10.53969955,62.32668686,65.45496368,300.4058838,999.4050903,98.80167389
tree31,HN,10,7.028706265,0.066356582,219.1970993,0.695316946,1.027611207,2,0.5,7.713084698,13.71067905,18.06435394,18C,12.08641243,399.9725952,400,395.110321,10.19065475,10.64863396,63.94845963,66.82237244,300.4122314,999.5025635,98.79798126
tree31,HN,10,6.999211869,0.064225836,214.5561043,0.662070693,1.010711733,2,0.5,7.713084698,13.65528774,17.99032021,18C,12.0333252,400.0629883,500,395.2289429,10.28547955,10.72153759,64.77881622,67.52514648,300.4060059,999.6925049,98.80162048
tree31,HN,10,9.992005474,0.059530234,315.3727843,0.605397433,0.996380031,2,0.5,7.713084698,13.58757401,17.95170593,18C,11.96692467,600.0353394,600,593.1439209,10.41802502,10.81671906,65.8975296,68.41941071,300.405304,999.3850098,98.7929306
tree31,HN,10,11.79695984,0.057442641,451.0461474,0.580244719,0.989324317,2,0.5,7.713084698,13.5761385,17.96282768,18C,11.95501614,800.0007324,800,791.8403931,10.52117729,10.90329266,66.59635162,69.01504517,300.3899841,999.3937378,98.78816986
tree31,HN,10,12.78342163,0.054539476,601.0820938,0.550088732,0.98739979,2,0.5,7.713084698,13.57432938,17.99718857,18C,11.94878674,1000.174438,1000,991.3006592,10.60591888,10.96813107,67.14002228,69.4329834,300.4069519,999.413208,98.78725433
tree31,HN,10,13.5237659,0.052392606,759.4911332,0.521299071,0.973786686,2,0.5,7.713084698,13.53959465,17.94733047,18C,11.91685295,1199.919556,1200,1190.50293,10.6971426,11.04036617,67.87037659,70.04802704,300.4127808,999.538208,98.78661346
tree31,HN,10,14.23005969,0.050829635,921.1578634,0.506534275,0.975003013,2,0.5,7.713084698,13.53783035,18.00254631,18C,11.91734409,1400.087524,1400,1390.145264,10.76768398,11.1011591,68.32331085,70.43928528,300.4189148,999.3814697,98.78303528
tree31,HN,10,14.25494416,0.050141725,1111.184884,0.495363785,0.966442452,2,0.5,7.713084698,13.54640579,17.97774506,18C,11.92401981,1600.068359,1600,1590.053589,10.82952309,11.15563774,68.67423248,70.74226379,300.4082642,999.5675049,98.77857971
tree31,HN,10,15.58541978,0.049356475,1453.682659,0.485456069,0.961971692,2,0.5,7.713084698,13.57529163,17.98255348,18C,11.96537113,1999.942383,2000,1988.923828,10.88862896,11.20819187,68.91342926,70.93592072,300.4197083,999.2807617,98.77011871
tree31,HN,10,3.952235699,0.051999725,172.0041278,0.391281807,0.737412253,2,0.5,7.713084698,11.52482414,15.34071732,14C,10.01669598,299.8631287,300,297.154541,9.991625786,10.24944973,72.30955505,74.17542267,300.4153748,999.6598511,98.72332764
tree31,HN,10,2.047888332,0.045847847,124.7811218,0.339998818,0.726303576,2,0.5,7.713084698,10.88506126,15.09107685,14C,9.308011055,199.9483795,200,198.5400696,9.856319427,10.08038998,74.41905212,76.11087036,300.4156494,999.4711304,98.71946716
tree31,HN,10,0.159302444,0.046361987,93.16451896,0.336745492,0.711577784,2,0.5,7.713084698,10.5522995,14.85195065,14C,8.962499619,99.94606781,100,99.81764221,9.740991592,9.962932587,75.1975174,76.91083527,300.4316711,999.6934814,98.72163391
tree31,HN,10,-0.9477228,0.047242577,81.98500317,0.337249689,0.699558287,2,0.5,7.713084698,10.33284092,14.64680099,14C,8.740283012,49.86032104,50,50.47989273,9.636663437,9.858959198,75.48972321,77.23109436,300.4328613,999.9158325,98.72196198
tree31,HN,10,5.863010567,0.04817395,197.0640243,0.341099331,0.69398578,2,0.5,7.713084698,10.20748806,14.52043629,14C,8.61235714,400.2051392,400,396.2119751,9.553368568,9.77822876,75.46248627,77.23867035,300.4213257,999.9189453,98.71651459
tree31,HN,10,5.672584761,0.04997417,209.9344722,0.352494301,0.691540855,2,0.5,7.713084698,10.11754799,14.4325695,14C,8.522516251,399.8662415,500,395.9967041,9.475583076,9.707983017,75.29825592,77.14503479,300.4065247,1000.058228,98.71476746
tree31,HN,10,8.191667684,0.051184433,331.6736312,0.359994098,0.68964755,2,0.5,7.713084698,10.04135227,14.3521347,14C,8.443981171,600.0324707,600,594.4365845,9.404043198,9.6413908,75.10437012,76.99992371,300.4228821,999.9951172,98.70506287
tree31,HN,10,9.479342789,0.052355411,494.7780522,0.366608622,0.686741182,2,0.5,7.713084698,9.994568825,14.26607513,14C,8.398111343,799.9165649,800,793.4120483,9.337127686,9.578859329,74.80093384,76.73748016,300.4132385,1000.142212,98.70116425
tree31,HN,10,9.77316385,0.052424454,683.661565,0.368508569,0.689366037,2,0.5,7.713084698,9.946913719,14.23959827,14C,8.350764275,999.9100342,1000,993.1599121,9.281765938,9.524763107,74.58868408,76.54142761,300.4138794,1000.194336,98.69264984
tree31,HN,10,10.42432973,0.05258908,862.0904408,0.370754354,0.691397566,2,0.5,7.713084698,9.926891327,14.22395229,14C,8.331905365,1199.989136,1200,1192.754761,9.243407249,9.487894058,74.3767395,76.34399414,300.4143066,1000.207947,98.68813324
tree31,HN,10,11.01374053,0.052667141,1041.792267,0.373042407,0.694664281,2,0.5,7.713084698,9.916390419,14.21270943,14C,8.316261292,1399.890991,1400,1392.212891,9.19672966,9.442735672,74.05364227,76.03452301,300.4153137,1000.28772,98.68867493
tree31,HN,10,11.2447567,0.052771574,1232.860478,0.377317562,0.701220086,2,0.5,7.713084698,9.907422066,14.23837566,14C,8.30838871,1599.930542,1600,1592.044678,9.155269623,9.404098511,73.76116943,75.76590729,300.422699,1000.209229,98.68474579
tree31,HN,10,12.03373171,0.052900566,1604.842098,0.376081556,0.69726971,2,0.5,7.713084698,9.893816948,14.17179298,14C,8.292042732,2000.028564,2000,1991.518799,9.125019073,9.373039246,73.58485413,75.58490753,300.4243774,1000.141724,98.68520355
tree31,HN,10,3.722833072,0.058457661,192.6812816,0.334037226,0.561892291,2,0.5,7.713084698,7.710212231,11.3530798,10C,6.221605301,300.0371399,300,297.4926453,7.754478931,7.975078583,72.46230316,74.52371979,300.4295349,999.5158691,98.66119385
tree31,HN,10,2.105426324,0.047816119,126.2862309,0.268799763,0.552115234,2,0.5,7.713084698,7.083488941,11.06782246,10C,5.519684315,200.0168457,200,198.5797119,7.640813828,7.818356991,74.5226593,76.25428009,300.4319458,999.8627319,98.65667725
tree31,HN,10,0.312218398,0.048231611,88.68774162,0.267205122,0.544226244,2,0.5,7.713084698,6.760005951,10.86538601,10C,5.189909458,100.1666031,100,99.94098663,7.542463779,7.71896553,75.21607208,76.97621918,300.441864,999.7764282,98.65823364
tree31,HN,10,-0.77646805,0.048731524,75.47199857,0.266072048,0.53645125,2,0.5,7.713084698,6.565331936,10.67315006,10C,4.989046574,49.88510132,50,50.39308929,7.453922749,7.629702091,75.33332825,77.10984802,300.4243774,999.9266968,98.6559906
tree31,HN,10,5.004203301,0.051002735,236.1158505,0.274999359,0.529977318,2,0.5,7.713084698,6.431062222,10.50865746,10C,4.854261398,400.1401367,400,396.736145,7.371117592,7.552805424,75.18899536,77.04230499,300.4299622,999.9920044,98.6566391
tree31,HN,10,4.870233925,0.05120477,240.6717167,0.277567839,0.53287255,2,0.5,7.713084698,6.356323719,10.46303844,10C,4.774769783,399.811554,500,396.4962463,7.300620556,7.484010696,74.85631561,76.73668671,300.4420166,1000.304138,98.65901947
tree31,HN,10,6.629392908,0.052340473,387.2602164,0.283974346,0.533421281,2,0.5,7.713084698,6.285829544,10.40162277,10C,4.708218575,599.9078369,600,595.382019,7.238509655,7.426150799,74.57715607,76.51039124,300.4303894,1000.269958,98.65370941
tree31,HN,10,7.086895109,0.052446136,571.7364826,0.284450272,0.533260736,2,0.5,7.713084698,6.214315414,10.33220005,10C,4.636234283,800.0322876,800,795.1640625,7.180706024,7.368665695,74.34529114,76.2913208,300.4413147,1000.240356,98.65062714
tree31,HN,10,7.4488415,0.053288287,762.1852265,0.289936266,0.535032573,2,0.5,7.713084698,6.194840908,10.3023138,10C,4.611542702,1000.006348,1000,994.8555908,7.133625507,7.325223923,73.95727539,75.94364929,300.4329834,1000.267944,98.65073395
tree31,HN,10,7.286634083,0.054033762,968.1556282,0.296872903,0.540323062,2,0.5,7.713084698,6.188746929,10.32304668,10C,4.606327057,1199.865967,1200,1194.779175,7.093192101,7.289378166,73.56785583,75.60262299,300.4381409,1000.030823,98.64916229
tree31,HN,10,8.227910982,0.05428106,1138.980599,0.301214339,0.54571514,2,0.5,7.713084698,6.205618382,10.34362698,10C,4.619943142,1400.040283,1400,1394.283447,7.05367136,7.252733231,73.06820679,75.13027191,300.4389648,1000.166565,98.64295959
tree31,HN,10,8.358295076,0.05332043,1328.936674,0.294027623,0.542241489,2,0.5,7.713084698,6.153804779,10.25520992,10C,4.566637993,1600.078735,1600,1594.202515,7.018532753,7.212857246,72.96277618,74.98291779,300.432373,1000.427368,98.64025879
tree31,HN,10,8.270537302,0.053781058,1729.626999,0.298079626,0.545023134,2,0.5,7.713084698,6.14896965,10.25209999,10C,4.567481041,1999.655518,2000,1993.754517,6.985337734,7.182333469,72.63873291,74.6872406,300.4519043,1000.37677,98.6359024
tree31,HN,10,3.124161305,0.054263485,203.2891521,0.234303575,0.425213209,2,0.5,7.713084698,3.92576623,7.447138309,6C,2.436410904,299.829071,300,297.7033386,6.049100876,6.204075813,73.42768097,75.30886078,300.5001221,999.2648926,98.61360168
tree31,HN,10,1.636197189,0.043587326,137.3356351,0.18467264,0.416723427,2,0.5,7.713084698,3.304733038,7.122065067,6C,1.762901187,199.9460754,200,198.8325958,5.936855316,6.059027195,75.28791046,76.83722687,300.484375,999.1949463,98.61021423
tree31,HN,10,0.121143516,0.044680755,94.85719166,0.187532743,0.412927302,2,0.5,7.713084698,3.005647898,6.934216022,6C,1.450420976,99.9670105,100,99.873909,5.841794968,5.965874672,75.66725922,77.27442932,300.4745178,999.3422852,98.61043549
